,region,name
1738,Rhode Island,University of Rhode Island
1739,Virginia,University of Richmond
1740,New York,University of Rochester
1741,Indiana,University of Saint Francis-Fort Wayne
1742,Connecticut,University of Saint Joseph
1743,California,University of Saint Katherine
1744,Kansas,University of Saint Mary
1745,California,University of San Diego
1746,California,University of San Francisco
1747,Oklahoma,University of Science and Arts of Oklahoma
1748,Pennsylvania,University of Scranton
1749,California,University of Silicon Valley
1750,South Dakota,University of Sioux Falls
1751,Alabama,University of South Alabama
1752,South Carolina,University of South Carolina Aiken
1753,South Carolina,University of South Carolina Beaufort
1754,South Carolina,University of South Carolina-Columbia
1755,South Carolina,University of South Carolina-Upstate
1756,South Dakota,University of South Dakota
1757,Florida,University of South Florida
1758,California,University of Southern California
1759,Indiana,University of Southern Indiana
1760,Maine,University of Southern Maine
1761,Mississippi,University of Southern Mississippi
1762,Illinois,University of St Francis
1763,Texas,University of St Thomas
1764,Minnesota,University of St Thomas
1765,Kentucky,University of the Cumberlands
1766,District of Columbia,University of the District of Columbia
1767,Texas,University of the Incarnate Word
1768,Arkansas,University of the Ozarks
1769,California,University of the Pacific
1770,California,University of the People
1771,Virginia,University of the Potomac-VA Campus
1772,District of Columbia,University of the Potomac-Washington DC Campus
1773,Pennsylvania,University of the Sciences
1774,New Mexico,University of the Southwest
1775,California,University of the West
1776,Ohio,University of Toledo
1777,Oklahoma,University of Tulsa
1778,Utah,University of Utah
1779,Pennsylvania,University of Valley Forge
1780,Vermont,University of Vermont
1781,Virginia,University of Virginia's College at Wise
1782,Virginia,University of Virginia-Main Campus
1783,Washington,University of Washington-Bothell Campus
1784,Washington,University of Washington-Seattle Campus
1785,Washington,University of Washington-Tacoma Campus
1786,Alabama,University of West Alabama
1787,Georgia,University of West Georgia
1788,California,University of West Los Angeles
1789,Oregon,University of Western States
1790,Wisconsin,University of Wisconsin-Eau Claire
1791,Wisconsin,University of Wisconsin-Green Bay
1792,Wisconsin,University of Wisconsin-La Crosse
1793,Wisconsin,University of Wisconsin-Madison
1794,Wisconsin,University of Wisconsin-Milwaukee
1795,Wisconsin,University of Wisconsin-Milwaukee Flex
1796,Wisconsin,University of Wisconsin-Oshkosh
1797,Wisconsin,University of Wisconsin-Parkside
1798,Wisconsin,University of Wisconsin-Parkside Flex
1799,Wisconsin,University of Wisconsin-Platteville
1800,Wisconsin,University of Wisconsin-River Falls
1801,Wisconsin,University of Wisconsin-Stevens Point
1802,Wisconsin,University of Wisconsin-Stout
1803,Wisconsin,University of Wisconsin-Superior
1804,Wisconsin,University of Wisconsin-Whitewater
1805,Wyoming,University of Wyoming
1806,Iowa,Upper Iowa University
1807,New York,Upstate Medical University
1808,Missouri,Urshan College
1809,Pennsylvania,Ursinus College
1810,Ohio,Ursuline College
1811,New York,Uta Mesivta of Kiryas Joel
1812,Utah,Utah State University
1813,New York,Utica University
1814,Georgia,Valdosta State University
1815,North Dakota,Valley City State University
1816,Indiana,Valparaiso University
1817,Tennessee,Vanderbilt University
1818,Illinois,VanderCook College of Music
1819,California,Vanguard University of Southern California
1820,New York,Vassar College
1821,Indiana,Veritas Baptist College
1822,Pennsylvania,Villanova University
1823,Virginia,Virginia Commonwealth University
1824,Virginia,Virginia Military Institute
1825,Virginia,Virginia Polytechnic Institute and State University
1826,Virginia,Virginia State University
1827,Virginia,Virginia Union University
1828,Virginia,Virginia University of Lynchburg
1829,Virginia,Virginia Wesleyan University
1830,Wisconsin,Viterbo University
1831,South Carolina,Voorhees College
1832,Indiana,Wabash College
1833,New York,Wagner College
1834,North Carolina,Wake Forest University
1835,Minnesota,Walden University
1836,Iowa,Waldorf University
1837,Washington,Walla Walla University
1838,Michigan,Walsh College
1839,Ohio,Walsh University
1840,Oregon,Warner Pacific University
1841,Oregon,Warner Pacific University Professional and Graduate Studies
1842,Florida,Warner University
1843,North Carolina,Warren Wilson College
1844,Iowa,Wartburg College
1845,Kansas,Washburn University
1846,Pennsylvania,Washington & Jefferson College
1847,Maryland,Washington Adventist University
1848,Virginia,Washington and Lee University
1849,Maryland,Washington College
1850,Washington,Washington State University
1851,Missouri,Washington University in St Louis
1852,Texas,Wayland Baptist University
1853,Nebraska,Wayne State College
1854,Michigan,Wayne State University
1855,Pennsylvania,Waynesburg University
1856,New York,Webb Institute
1857,Florida,Webber International University
1858,Missouri,Webster University
1859,Tennessee,Welch College
1860,Massachusetts,Wellesley College
1861,New York,Wells College
1862,Massachusetts,Wentworth Institute of Technology
1863,Mississippi,Wesley Biblical Seminary
1864,Georgia,Wesleyan College
1865,Connecticut,Wesleyan University
1866,Pennsylvania,West Chester University of Pennsylvania
1867,Texas,West Coast University-Dallas
1868,California,West Coast University-Los Angeles
1869,Florida,West Coast University-Miami
1870,California,West Coast University-Ontario
1871,California,West Coast University-Orange County
1872,West Virginia,West Liberty University
1873,Texas,West Texas A & M University
1874,West Virginia,West Virginia State University
1875,West Virginia,West Virginia University
1876,West Virginia,West Virginia University Institute of Technology
1877,West Virginia,West Virginia Wesleyan College
1878,California,Westcliff University
1879,North Carolina,Western Carolina University
1880,Colorado,Western Colorado University
1881,Connecticut,Western Connecticut State University
1882,Utah,Western Governors University
1883,Illinois,Western Illinois University
1884,Kentucky,Western Kentucky University
1885,Michigan,Western Michigan University
1886,Massachusetts,Western New England University
1887,New Mexico,Western New Mexico University
1888,Oregon,Western Oregon University
1889,Washington,Western Washington University
1890,Massachusetts,Westfield State University
1891,Utah,Westminster College
1892,Pennsylvania,Westminster College
1893,Missouri,Westminster College
1894,California,Westmont College
1895,Illinois,Wheaton College
1896,Massachusetts,Wheaton College (Massachusetts)
1897,West Virginia,Wheeling University
1898,Washington,Whitman College
1899,California,Whittier College
1900,Washington,Whitworth University
1901,Washington,Whitworth University-Adult Degree Programs
1902,Kansas,Wichita State University
1903,Pennsylvania,Widener University
1904,Ohio,Wilberforce University
1905,Texas,Wiley College
1906,Pennsylvania,Wilkes University
1907,Oregon,Willamette University
1908,Virginia,William & Mary
1909,Mississippi,William Carey University
1910,Massachusetts,William James College
1911,California,William Jessup University
1912,Missouri,William Jewell College
1913,New Jersey,William Paterson University of New Jersey
1914,North Carolina,William Peace University
1915,Iowa,William Penn University
1916,Missouri,William Woods University
1917,Arkansas,Williams Baptist University
1918,Massachusetts,Williams College
1919,Tennessee,Williamson Christian College
1920,Ohio,Wilmington College
1921,Delaware,Wilmington University
1922,Pennsylvania,Wilson College
1923,North Carolina,Wingate University
1924,Minnesota,Winona State University
1925,North Carolina,Winston-Salem State University
1926,South Carolina,Winthrop University
1927,Wisconsin,Wisconsin Lutheran College
1928,Ohio,Wittenberg University
1929,South Carolina,Wofford College
1930,Maryland,Women's Institute of Torah Seminary and College
1931,California,Woodbury University
1932,Massachusetts,Worcester Polytechnic Institute
1933,Massachusetts,Worcester State University
1934,California,World Mission University
1935,Ohio,Wright State University-Lake Campus
1936,Ohio,Wright State University-Main Campus
1937,Ohio,Xavier University
1938,Louisiana,Xavier University of Louisiana
1939,Connecticut,Yale University
1940,New Jersey,Yeshiva Bais Aharon
1941,Maryland,Yeshiva College of the Nations Capital
1942,New York,Yeshiva D'monsey Rabbinical College
1943,New York,Yeshiva Derech Chaim
1944,New York,Yeshiva Gedolah Imrei Yosef D'spinka
1945,New York,Yeshiva Gedolah Kesser Torah
1946,New Jersey,Yeshiva Gedolah of Cliffwood
1947,Michigan,Yeshiva Gedolah of Greater Detroit
